date,asset,ticker,close
2020-11-11,D05_SI,D05.SI,16.449172973632812
2020-11-12,D05_SI,D05.SI,16.27938461303711
2020-11-13,D05_SI,D05.SI,16.218259811401367
2020-11-16,D05_SI,D05.SI,16.44917106628418
2020-11-17,D05_SI,D05.SI,16.7412109375
2020-11-18,D05_SI,D05.SI,16.727628707885742
2020-11-19,D05_SI,D05.SI,16.58500862121582
2020-11-20,D05_SI,D05.SI,16.707250595092773
2020-11-23,D05_SI,D05.SI,17.02645492553711
2020-11-24,D05_SI,D05.SI,17.386411666870117
2020-11-25,D05_SI,D05.SI,17.440744400024414
2020-11-26,D05_SI,D05.SI,17.318492889404297
2020-11-27,D05_SI,D05.SI,17.440744400024414
2020-11-30,D05_SI,D05.SI,17.11474609375
2020-12-01,D05_SI,D05.SI,17.107955932617188
2020-12-02,D05_SI,D05.SI,17.196245193481445
2020-12-03,D05_SI,D05.SI,17.37282943725586
2020-12-04,D05_SI,D05.SI,17.42715835571289
2020-12-07,D05_SI,D05.SI,17.15549659729004
2020-12-08,D05_SI,D05.SI,16.985706329345703
2020-12-09,D05_SI,D05.SI,17.28453254699707
2020-12-10,D05_SI,D05.SI,17.01287078857422
2020-12-11,D05_SI,D05.SI,17.019664764404297
2020-12-14,D05_SI,D05.SI,17.28453254699707
2020-12-15,D05_SI,D05.SI,17.291330337524414
2020-12-16,D05_SI,D05.SI,17.35923957824707
2020-12-17,D05_SI,D05.SI,17.23020362854004
2020-12-18,D05_SI,D05.SI,17.040040969848633
2020-12-21,D05_SI,D05.SI,17.11474609375
2020-12-22,D05_SI,D05.SI,17.01287078857422
2020-12-23,D05_SI,D05.SI,17.02645492553711
2020-12-24,D05_SI,D05.SI,17.094371795654297
2020-12-28,D05_SI,D05.SI,17.06720733642578
2020-12-29,D05_SI,D05.SI,17.11474609375
2020-12-30,D05_SI,D05.SI,17.135120391845703
2020-12-31,D05_SI,D05.SI,17.135120391845703
2021-01-04,D05_SI,D05.SI,17.209827423095703
2021-01-05,D05_SI,D05.SI,17.216625213623047
2021-01-06,D05_SI,D05.SI,17.101165771484375
2021-01-07,D05_SI,D05.SI,17.692028045654297
2021-01-08,D05_SI,D05.SI,18.622474670410156
2021-01-11,D05_SI,D05.SI,18.28289794921875
2021-01-12,D05_SI,D05.SI,18.15385627746582
2021-01-13,D05_SI,D05.SI,18.174232482910156
2021-01-14,D05_SI,D05.SI,18.3304386138916
2021-01-15,D05_SI,D05.SI,18.235355377197266
2021-01-18,D05_SI,D05.SI,17.936525344848633
2021-01-19,D05_SI,D05.SI,18.05877685546875
2021-01-20,D05_SI,D05.SI,17.916149139404297
2021-01-21,D05_SI,D05.SI,17.96369743347168
2021-01-22,D05_SI,D05.SI,17.773529052734375
2021-01-25,D05_SI,D05.SI,17.610532760620117
2021-01-26,D05_SI,D05.SI,17.454322814941406
2021-01-27,D05_SI,D05.SI,17.529033660888672
2021-01-28,D05_SI,D05.SI,17.27774429321289
2021-01-29,D05_SI,D05.SI,17.101165771484375
2021-02-01,D05_SI,D05.SI,17.14191436767578
2021-02-02,D05_SI,D05.SI,17.162290573120117
2021-02-03,D05_SI,D05.SI,17.11474609375
2021-02-04,D05_SI,D05.SI,17.14191436767578
2021-02-05,D05_SI,D05.SI,17.169076919555664
2021-02-08,D05_SI,D05.SI,17.759944915771484
2021-02-09,D05_SI,D05.SI,17.610532760620117
2021-02-10,D05_SI,D05.SI,17.6580753326416
2021-02-11,D05_SI,D05.SI,17.70561408996582
2021-02-15,D05_SI,D05.SI,17.57657241821289
2021-02-16,D05_SI,D05.SI,17.651281356811523
2021-02-17,D05_SI,D05.SI,17.6580753326416
2021-02-18,D05_SI,D05.SI,17.495075225830078
2021-02-19,D05_SI,D05.SI,17.406782150268555
2021-02-22,D05_SI,D05.SI,17.386411666870117
2021-02-23,D05_SI,D05.SI,17.42715835571289
2021-02-24,D05_SI,D05.SI,17.929731369018555
2021-02-25,D05_SI,D05.SI,18.269311904907227
2021-02-26,D05_SI,D05.SI,18.09273338317871
2021-03-01,D05_SI,D05.SI,18.405141830444336
2021-03-02,D05_SI,D05.SI,18.296480178833008
2021-03-03,D05_SI,D05.SI,18.663223266601562
2021-03-04,D05_SI,D05.SI,19.043554306030273
2021-03-05,D05_SI,D05.SI,18.805849075317383
2021-03-08,D05_SI,D05.SI,19.28804588317871
2021-03-09,D05_SI,D05.SI,19.59366798400879
2021-03-10,D05_SI,D05.SI,18.9077205657959
2021-03-11,D05_SI,D05.SI,19.226924896240234
2021-03-12,D05_SI,D05.SI,19.084299087524414
2021-03-15,D05_SI,D05.SI,18.98921775817871
2021-03-16,D05_SI,D05.SI,18.94847297668457
2021-03-17,D05_SI,D05.SI,19.029964447021484
2021-03-18,D05_SI,D05.SI,19.27446746826172
2021-03-19,D05_SI,D05.SI,19.362754821777344
2021-03-22,D05_SI,D05.SI,19.27446746826172
2021-03-23,D05_SI,D05.SI,19.1522159576416
2021-03-24,D05_SI,D05.SI,19.220129013061523
2021-03-25,D05_SI,D05.SI,19.35596466064453
2021-03-26,D05_SI,D05.SI,19.41708755493164
2021-03-29,D05_SI,D05.SI,19.57329559326172
2021-03-30,D05_SI,D05.SI,19.695541381835938
2021-03-31,D05_SI,D05.SI,19.552921295166016
2021-04-01,D05_SI,D05.SI,19.695541381835938
2021-04-05,D05_SI,D05.SI,19.90608024597168
2021-04-06,D05_SI,D05.SI,19.899282455444336
2021-04-07,D05_SI,D05.SI,19.70111846923828
2021-04-08,D05_SI,D05.SI,19.612281799316406
2021-04-09,D05_SI,D05.SI,19.578109741210938
2021-04-12,D05_SI,D05.SI,19.605443954467773
2021-04-13,D05_SI,D05.SI,19.70794677734375
2021-04-14,D05_SI,D05.SI,19.605443954467773
2021-04-15,D05_SI,D05.SI,19.78311538696289
2021-04-16,D05_SI,D05.SI,19.817285537719727
2021-04-19,D05_SI,D05.SI,19.830955505371094
2021-04-20,D05_SI,D05.SI,19.830955505371094
2021-04-21,D05_SI,D05.SI,19.407270431518555
2021-04-22,D05_SI,D05.SI,19.796785354614258
2021-04-23,D05_SI,D05.SI,19.78311538696289
2021-04-26,D05_SI,D05.SI,19.817285537719727
2021-04-27,D05_SI,D05.SI,20.022287368774414
2021-04-28,D05_SI,D05.SI,20.09062957763672
2021-04-29,D05_SI,D05.SI,20.08379554748535
2021-04-30,D05_SI,D05.SI,20.439136505126953
2021-05-03,D05_SI,D05.SI,20.2204647064209
2021-05-04,D05_SI,D05.SI,20.09062957763672
2021-05-05,D05_SI,D05.SI,20.056461334228516
2021-05-06,D05_SI,D05.SI,20.20680046081543
2021-05-07,D05_SI,D05.SI,20.40497398376465
2021-05-10,D05_SI,D05.SI,20.370595932006836
